,start,duration
BL,0,300
Tone,300,10
Shock,310,2
ITI,312,60
Tone,372,10
Shock,382,2
ITI,384,60
Tone,444,10
Shock,454,2
ITI,456,60
Tone,516,10
Shock,526,2
ITI,528,60
Tone,588,10
Shock,598,2
ITI,600,60
Interval before Ext,660,600
Tone,1260,10
ITI,1270,30
Tone,1300,10
ITI,1310,30
Tone,1340,10
ITI,1350,30
Tone,1380,10
ITI,1390,30
Tone,1420,10
ITI,1430,30
Tone,1460,10
ITI,1470,30
Tone,1500,10
ITI,1510,30
Tone,1540,10
ITI,1550,30
Tone,1580,10
ITI,1590,30
Tone,1620,10
ITI,1630,30
Tone,1660,10
ITI,1670,30
Tone,1700,10
ITI,1710,30
Tone,1740,10
ITI,1750,30
Tone,1780,10
ITI,1790,30
Tone,1820,10
ITI,1830,30
Tone,1860,10
ITI,1870,30
Tone,1900,10
ITI,1910,30
Tone,1940,10
ITI,1950,30
Tone,1980,10
ITI,1990,30
Tone,2020,10
ITI,2030,30
Tone,2060,10
ITI,2070,30
Tone,2100,10
ITI,2110,30
Tone,2140,10
ITI,2150,30
Tone,2180,10
ITI,2190,30
Tone,2220,10
ITI,2230,30
Tone,2260,10
ITI,2270,30
Tone,2300,10
ITI,2310,30
Tone,2340,10
ITI,2350,30
Tone,2380,10
ITI,2390,30
Tone,2420,10
ITI,2430,30
Tone,2460,10
ITI,2470,30
Tone,2500,10
ITI,2510,30
Tone,2540,10
ITI,2550,30
Tone,2580,10
ITI,2590,30
Tone,2620,10
ITI,2630,30
Tone,2660,10
ITI,2670,30
Tone,2700,10
ITI,2710,30
Tone,2740,10
ITI,2750,30
Tone,2780,10
ITI,2790,30
Tone,2820,10
ITI,2830,30
Tone,2860,10
ITI,2870,30
Tone,2900,10
ITI,2910,30
Tone,2940,10
ITI,2950,30
Tone,2980,10
ITI,2990,30
Tone,3020,10
ITI,3030,30
